condition,method,status,metric,mean,std_population,std_sample,n
aniso_k10,C,complete,radial_w1,0.07575114816427231,1.609509363375073e-08,1.971238338250362e-08,3
aniso_k10,C,complete,sample_time_s,0.25344812621672946,0.003423501999664678,0.004192916516288164,3
aniso_k10,C,complete,sliced_w1,0.13446329782406488,0.009847782528117832,0.012061021145892012,3
aniso_k10,C,complete,tail_exc_95,0.000900001078844026,0.0,0.0,3
aniso_k10,C,complete,tail_exc_99,0.00010000005364418918,0.0,0.0,3
aniso_k10,C,complete,total_train_time_s,28.959818604091804,0.2501719985784563,0.3063968722247482,3
aniso_k10,tflow,incomplete,,,,,
aniso_k100,A,complete,angular_sw_bin0,0.010005336254835129,0.0010734307123574322,0.001314678759753985,3
aniso_k100,A,complete,angular_sw_bin1,0.009950637196501097,0.0008533742324856459,0.0010451657146145284,3
aniso_k100,A,complete,angular_sw_bin2,0.008776347618550062,0.0010789761657210798,0.0013214705253206537,3
aniso_k100,A,complete,angular_sw_bin3,0.012096268745760122,0.0020484211979412783,0.0025087933566283957,3
aniso_k100,A,complete,angular_sw_mean,0.010207147453911602,0.0009003493172950833,0.0011026982088180718,3
aniso_k100,A,complete,exploding_norm_rate,0.0,0.0,0.0,3
aniso_k100,A,complete,inf_rate,0.0,0.0,0.0,3
aniso_k100,A,complete,invalid_rate,0.0,0.0,0.0,3
aniso_k100,A,complete,ks_stat,0.011399984359741211,0.0,0.0,3
aniso_k100,A,complete,mmd,0.0006992419560750326,0.00025198346219446413,0.0003086154529981663,3
aniso_k100,A,complete,nan_rate,0.0,0.0,0.0,3
aniso_k100,A,complete,nfe,512,0.0,0.0,3
aniso_k100,A,complete,q950_err,0.007355078321737654,1.0121734935292869e-07,1.2396542951585017e-07,3
aniso_k100,A,complete,q990_err,0.002717359611725893,0.0,0.0,3
aniso_k100,A,complete,q995_err,0.014684905936310569,1.48962084243221e-07,1.8244054870868675e-07,3
aniso_k100,A,complete,radial_w1,0.8959000507990519,5.6195798014525375e-08,6.882551541204759e-08,3
aniso_k100,A,complete,sample_time_s,0.1871843934059143,0.00021340674198557131,0.0002613688127672166,3
aniso_k100,A,complete,sliced_w1,1.4761945406595867,0.2055364166657435,0.2517296721955741,3
aniso_k100,A,complete,tail_exc_95,0.003200001269578978,0.0,0.0,3
aniso_k100,A,complete,tail_exc_99,0.0004000000283121974,0.0,0.0,3
aniso_k100,A,complete,total_train_time_s,28.754304612676304,1.8748315214697093,2.2961902906433163,3
aniso_k100,B,complete,angular_sw_bin0,0.00857861495266358,0.0005051941526739048,0.0006187339475443843,3
aniso_k100,B,complete,angular_sw_bin1,0.009591314320762953,0.0002488892309991127,0.0003048258092107598,3
aniso_k100,B,complete,angular_sw_bin2,0.007868147765596708,0.0005615292623230062,0.000687730084166404,3
aniso_k100,B,complete,angular_sw_bin3,0.010121926665306091,0.001572856411211452,0.001926347823066606,3
aniso_k100,B,complete,angular_sw_mean,0.009040000926082334,0.0004231461047311196,0.0005182460216187669,3
aniso_k100,B,complete,exploding_norm_rate,0.0,0.0,0.0,3
aniso_k100,B,complete,inf_rate,0.0,0.0,0.0,3
aniso_k100,B,complete,invalid_rate,0.0,0.0,0.0,3
aniso_k100,B,complete,ks_stat,0.011399984359741211,0.0,0.0,3
aniso_k100,B,complete,mmd,0.0004445314407348633,0.00010364277120411127,0.00012693595248904714,3
aniso_k100,B,complete,nan_rate,0.0,0.0,0.0,3
aniso_k100,B,complete,nfe,512,0.0,0.0,3
aniso_k100,B,complete,q950_err,0.007355114107474705,5.06086746762599e-08,6.19827147576747e-08,3
aniso_k100,B,complete,q990_err,0.002717390465918666,4.363441787592424e-08,5.344102950969569e-08,3
aniso_k100,B,complete,q995_err,0.014684789080837594,0.0,0.0,3
aniso_k100,B,complete,radial_w1,0.8959000706672668,1.2876074907000583e-07,1.5769906706002895e-07,3
aniso_k100,B,complete,sample_time_s,0.28410721073548,0.002023949527545567,0.0024788218038168624,3
aniso_k100,B,complete,sliced_w1,1.201482077439626,0.14762565800787025,0.18080376753094776,3
aniso_k100,B,complete,tail_exc_95,0.003200001269578978,0.0,0.0,3
aniso_k100,B,complete,tail_exc_99,0.0004000000283121974,0.0,0.0,3
aniso_k100,B,complete,total_train_time_s,27.28524188200633,0.6393697072650452,0.7830647698960056,3
aniso_k100,C,complete,angular_sw_bin0,0.011973868434627851,0.00026538747477128843,0.00032503194865770023,3
