condition,method,seed,status,metric,value,result_path
aniso_k1,A,65457,complete,nfe,512,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_65457/result.json
aniso_k1,A,65457,complete,q950_err,0.0032144283596292527,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_65457/result.json
aniso_k1,A,65457,complete,q990_err,0.0008872112206024467,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_65457/result.json
aniso_k1,A,65457,complete,q995_err,0.0030265620116995064,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_65457/result.json
aniso_k1,A,65457,complete,radial_w1,0.012358879670500755,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_65457/result.json
aniso_k1,A,65457,complete,sample_time_s,0.19175592064857483,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_65457/result.json
aniso_k1,A,65457,complete,sliced_w1,0.021394288167357445,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_65457/result.json
aniso_k1,A,65457,complete,tail_exc_95,0.002500000596046492,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_65457/result.json
aniso_k1,A,65457,complete,tail_exc_99,0.0002000003680586726,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_65457/result.json
aniso_k1,A,65457,complete,total_train_time_s,29.648177914321423,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_65457/result.json
aniso_k1,B,8925,complete,angular_sw_bin0,0.008017770946025848,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_8925/result.json
aniso_k1,B,8925,complete,angular_sw_bin1,0.008176358416676521,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_8925/result.json
aniso_k1,B,8925,complete,angular_sw_bin2,0.007706925272941589,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_8925/result.json
aniso_k1,B,8925,complete,angular_sw_bin3,0.008836646564304829,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_8925/result.json
aniso_k1,B,8925,complete,angular_sw_mean,0.008184425299987197,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_8925/result.json
aniso_k1,B,8925,complete,exploding_norm_rate,0.0,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_8925/result.json
aniso_k1,B,8925,complete,inf_rate,0.0,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_8925/result.json
aniso_k1,B,8925,complete,invalid_rate,0.0,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_8925/result.json
aniso_k1,B,8925,complete,ks_stat,0.010100007057189941,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_8925/result.json
aniso_k1,B,8925,complete,mmd,0.00011944770812988281,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_8925/result.json
aniso_k1,B,8925,complete,nan_rate,0.0,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_8925/result.json
aniso_k1,B,8925,complete,nfe,512,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_8925/result.json
aniso_k1,B,8925,complete,q950_err,0.0032145683060073984,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_8925/result.json
aniso_k1,B,8925,complete,q990_err,0.0008872112206024467,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_8925/result.json
aniso_k1,B,8925,complete,q995_err,0.0030267511836484843,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_8925/result.json
aniso_k1,B,8925,complete,radial_w1,0.012358883395791054,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_8925/result.json
aniso_k1,B,8925,complete,sample_time_s,0.2940313220024109,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_8925/result.json
aniso_k1,B,8925,complete,sliced_w1,0.020838117226958275,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_8925/result.json
aniso_k1,B,8925,complete,tail_exc_95,0.002500000596046492,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_8925/result.json
aniso_k1,B,8925,complete,tail_exc_99,0.0002000003680586726,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_8925/result.json
aniso_k1,B,8925,complete,total_train_time_s,29.381861068308353,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_8925/result.json
aniso_k1,B,77395,complete,angular_sw_bin0,0.008540975861251354,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_77395/result.json
aniso_k1,B,77395,complete,angular_sw_bin1,0.008151871152222157,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_77395/result.json
aniso_k1,B,77395,complete,angular_sw_bin2,0.007565158419311047,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_77395/result.json
aniso_k1,B,77395,complete,angular_sw_bin3,0.008744997903704643,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_77395/result.json
aniso_k1,B,77395,complete,angular_sw_mean,0.0082507508341223,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_77395/result.json
aniso_k1,B,77395,complete,exploding_norm_rate,0.0,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_77395/result.json
aniso_k1,B,77395,complete,inf_rate,0.0,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_77395/result.json
aniso_k1,B,77395,complete,invalid_rate,0.0,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_77395/result.json
aniso_k1,B,77395,complete,ks_stat,0.010100007057189941,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_77395/result.json
aniso_k1,B,77395,complete,mmd,0.0001310110092163086,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_77395/result.json
